name,muni,ward_id,normalized_name,warning,election_day_registered,ballots_cast,nov_1_registered
City of Milwaukee - Ward 177,53000,177,city of milwaukee ward 177,,2673,2187,2685
City of Milwaukee - Ward 178,53000,178,city of milwaukee ward 178,,2062,1732,2069
City of Milwaukee - Ward 179,53000,179,city of milwaukee ward 179,,2013,1560,2007
City of Milwaukee - Ward 18,53000,18,city of milwaukee ward 18,,1079,873,1092
City of Milwaukee - Ward 180,53000,180,city of milwaukee ward 180,,1493,1190,1519
City of Milwaukee - Ward 181,53000,181,city of milwaukee ward 181,,2012,1657,2009
City of Milwaukee - Ward 182,53000,182,city of milwaukee ward 182,,2064,1628,2075
City of Milwaukee - Ward 183,53000,183,city of milwaukee ward 183,,3071,2456,3109
City of Milwaukee - Ward 184,53000,184,city of milwaukee ward 184,,1842,1509,1863
City of Milwaukee - Ward 185,53000,185,city of milwaukee ward 185,,2603,2015,2619
City of Milwaukee - Ward 186,53000,186,city of milwaukee ward 186,,3072,2544,3123
City of Milwaukee - Ward 187,53000,187,city of milwaukee ward 187,,939,735,930
City of Milwaukee - Ward 188,53000,188,city of milwaukee ward 188,,728,570,741
City of Milwaukee - Ward 189,53000,189,city of milwaukee ward 189,,964,783,998
City of Milwaukee - Ward 19,53000,19,city of milwaukee ward 19,,891,660,904
City of Milwaukee - Ward 190,53000,190,city of milwaukee ward 190,,1448,918,1480
City of Milwaukee - Ward 191,53000,191,city of milwaukee ward 191,,932,550,970
City of Milwaukee - Ward 192,53000,192,city of milwaukee ward 192,,1307,829,1392
City of Milwaukee - Ward 193,53000,193,city of milwaukee ward 193,,818,562,825
City of Milwaukee - Ward 194,53000,194,city of milwaukee ward 194,,714,502,731
City of Milwaukee - Ward 195,53000,195,city of milwaukee ward 195,,665,426,670
City of Milwaukee - Ward 196,53000,196,city of milwaukee ward 196,,1065,723,1089
City of Milwaukee - Ward 197,53000,197,city of milwaukee ward 197,,436,316,435
City of Milwaukee - Ward 198,53000,198,city of milwaukee ward 198,,1087,618,1089
City of Milwaukee - Ward 199,53000,199,city of milwaukee ward 199,,698,502,695
City of Milwaukee - Ward 2,53000,2,city of milwaukee ward 2,,524,358,529
City of Milwaukee - Ward 20,53000,20,city of milwaukee ward 20,,1122,901,1125
